,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
86,ENST00000369535,Xu16_SRR1758410,57,112,0.36,12.86,6.66,0.31,0.9,0.52,0.16
87,ENST00000369535,Xu16_SRR1758413,54,174,0.59,9.43,7.13,0.23,0.97,0.76,0.17
88,ENST00000369535,Xu16_SRR1758412,68,164,0.45,11.87,7.28,0.29,0.99,0.61,0.16
89,ENST00000369535,Xu16_SRR1758392,15,87,1.07,6.01,7.37,0.15,1.0,1.23,0.16
90,ENST00000369535,Xu16_SRR1758393,30,84,0.52,10.56,7.2,0.26,0.98,0.68,0.16
91,ENST00000369535,Xu16_SRR1758390,13,85,1.21,5.31,7.2,0.13,0.98,1.36,0.15
92,ENST00000369535,Xu16_SRR1758391,23,63,0.51,10.92,7.37,0.27,1.0,0.67,0.16
93,ENST00000369535,Xu16_SRR1758396,17,55,0.6,9.38,7.11,0.23,0.96,0.76,0.16
94,ENST00000369535,Xu16_SRR1758397,22,79,0.66,8.81,7.28,0.22,0.99,0.83,0.17
95,ENST00000369535,Xu16_SRR1758394,8,21,0.48,11.27,7.37,0.28,1.0,0.65,0.17
96,ENST00000369535,Xu16_SRR1758395,14,82,1.08,5.9,7.28,0.14,0.99,1.23,0.15
97,ENST00000369535,Xu16_SRR1758408,78,210,0.5,10.8,7.13,0.26,0.97,0.66,0.16
98,ENST00000369535,Xu16_SRR1758409,76,269,0.65,8.79,7.16,0.22,0.97,0.81,0.16
99,ENST00000369535,Xu16_SRR1758406,63,155,0.45,11.7,7.28,0.29,0.99,0.62,0.17
100,ENST00000369535,Xu16_SRR1758407,82,278,0.63,9.23,7.24,0.23,0.98,0.78,0.15
101,ENST00000369535,Xu16_SRR1758381,66,292,0.82,7.41,7.17,0.18,0.97,0.97,0.15
102,ENST00000369535,Xu16_SRR1758380,56,330,1.09,5.78,7.15,0.14,0.97,1.24,0.15
103,ENST00000369535,Andreev_HCT116_M3_ribo,111,1043,1.73,3.68,6.84,0.09,0.93,1.86,0.13
104,ENST00000369535,Andreev_HCT116_G2_hct116_myxo_ribo,70,2761,7.28,0.99,7.24,0.02,0.98,7.31,0.03
105,ENST00000369535,Andreev_HCT116_G3_hct116_pieri_ribo,162,2188,2.49,2.76,7.19,0.07,0.98,2.61,0.12
106,ENST00000369535,Andreev_HCT116_G6_hct116_sca_pieri_ribo,94,2829,5.55,1.08,6.0,0.03,0.81,5.56,0.01
107,ENST00000369535,Andreev_HCT116_M4_ribo,154,1283,1.54,4.03,6.72,0.1,0.91,1.67,0.13
108,ENST00000369535,Andreev_HCT116_G5_hct116_sca_myxo_ribo,175,2503,2.64,2.61,7.16,0.06,0.97,2.74,0.1
109,ENST00000369535,Andreev_HCT116_M1_ribo,245,1460,1.1,5.54,6.89,0.14,0.94,1.24,0.14
